St_12,country,prov,bcr,SUM_Count_,MIN_BCR,Area,St_num
US-ND-17,US,ND,17,14,17,54965.97065,120
US-NE-11,US,NE,11,7,11,15651.75396,121
US-NE-17,US,NE,17,2,17,4482.413455,122
US-NE-18,US,NE,18,8,18,35473.74294,123
US-NE-19,US,NE,19,29,19,122725.4634,124
US-NE-22,US,NE,22,6,22,22156.46144,125
US-NH-14,US,NH,14,20,14,19955.68369,126
US-NH-30,US,NH,30,5,30,3980.116582,127
US-NJ-28,US,NJ,28,8,28,3860.528908,128
US-NJ-29,US,NJ,29,7,29,3892.38579,129
US-NJ-30,US,NJ,30,24,30,12229.47008,130
US-NM-16,US,NM,16,38,16,132610.1473,131
US-NM-18,US,NM,18,20,18,67396.575,132
US-NM-34,US,NM,34,3,34,27645.78153,133
US-NM-35,US,NM,35,23,35,87921.52331,134
US-NV-15,US,NV,15,1,15,785.493487,135
US-NV-16,US,NV,16,0,16,158.291627,136
US-NV-33,US,NV,33,7,33,38361.87226,137
US-NV-9,US,NV,9,44,9,246807.7517,138
US-NY-13,US,NY,13,50,13,54097.47267,139
US-NY-14,US,NY,14,31,14,28749.12085,140
US-NY-28,US,NY,28,38,28,38018.10046,141
US-NY-30,US,NY,30,7,30,5198.633038,142
US-OH-13,US,OH,13,16,13,21453.22407,143
US-OH-22,US,OH,22,40,22,52864.99417,144
US-OH-23,US,OH,23,0,23,87.139286,145
US-OH-24,US,OH,24,0,24,1082.860118,146
US-OH-28,US,OH,28,31,28,30933.31055,147
US-OK-18,US,OK,18,5,18,11148.62465,148
US-OK-19,US,OK,19,32,19,75069.60925,149
US-OK-21,US,OK,21,12,21,41848.12564,150
US-OK-22,US,OK,22,5,22,15669.26468,151
US-OK-24,US,OK,24,3,24,7771.398902,152
US-OK-25,US,OK,25,14,25,29620.01098,153
US-OR-10,US,OR,10,32,10,53638.61937,154
US-OR-5,US,OR,5,53,5,81963.27502,155
US-OR-9,US,OR,9,56,9,115677.5343,156
US-PA-13,US,PA,13,6,13,8060.644958,157
US-PA-28,US,PA,28,108,28,96973.28467,158
US-PA-29,US,PA,29,24,29,12131.64673,159
US-RI-30,US,RI,30,5,30,2833.614517,160
US-SC-27,US,SC,27,29,27,51140.30074,161
US-SC-28,US,SC,28,3,28,1775.925379,162
US-SC-29,US,SC,29,19,29,26958.72844,163
US-SD-11,US,SD,11,19,11,89409.41261,164
US-SD-17,US,SD,17,45,17,103740.6451,165
US-SD-18,US,SD,18,0,18,2078.581821,166
US-SD-19,US,SD,19,0,19,838.853043,167
US-SD-22,US,SD,22,0,22,3376.0582,168
US-TN-24,US,TN,24,17,24,40643.66193,169
US-TN-26,US,TN,26,1,26,1525.503866,170
US-TN-27,US,TN,27,10,27,25256.03702,171
US-TN-28,US,TN,28,25,28,41401.71621,172
US-TX-18,US,TX,18,27,18,105639.1198,173
US-TX-19,US,TX,19,20,19,89323.13643,174
US-TX-20,US,TX,20,19,20,58594.72891,175
US-TX-21,US,TX,21,54,21,152288.4328,176
US-TX-25,US,TX,25,21,25,71055.63222,177
US-TX-35,US,TX,35,29,35,99676.3053,178
US-TX-36,US,TX,36,23,36,68078.15568,179
US-TX-37,US,TX,37,21,37,40836.06927,180
US-UT-10,US,UT,10,7,10,2875.365869,181
US-UT-16,US,UT,16,66,16,131471.5659,182
US-UT-33,US,UT,33,0,33,311.411548,183
US-UT-9,US,UT,9,38,9,85199.31258,184
US-VA-27,US,VA,27,16,27,18706.62764,185
US-VA-28,US,VA,28,35,28,39831.91505,186
US-VA-29,US,VA,29,27,29,42367.82985,187
US-VA-30,US,VA,30,2,30,2846.783295,188
US-VT-13,US,VT,13,5,13,4533.442131,189
US-VT-14,US,VT,14,21,14,20508.01944,190
US-WA-10,US,WA,10,13,10,22876.09272,191
US-WA-5,US,WA,5,27,5,52628.95461,192
US-WA-9,US,WA,9,66,9,99497.50605,193
US-WI-12,US,WI,12,30,12,46194.43847,194
US-WI-22,US,WI,22,0,22,1316.481037,195
US-WI-23,US,WI,23,67,23,98330.37846,196
US-WV-28,US,WV,28,64,28,62692.44884,197
US-WY-10,US,WY,10,77,10,165734.7788,198
US-WY-16,US,WY,16,5,16,10978.81267,199
US-WY-17,US,WY,17,37,17,64730.26971,200
US-WY-18,US,WY,18,5,18,12182.57718,201
