region,area_sq_km,national,prov_state,bcr
US-NY-28,38018.08535,US,NY,28
US-NY-30,5198.810463,US,NY,30
US-OH-13,21453.20696,US,OH,13
US-OH-22,52865.02987,US,OH,22
US-OH-23,87.13931767,US,OH,23
US-OH-24,1082.880734,US,OH,24
US-OH-28,30933.37483,US,OH,28
US-OK-18,11148.64909,US,OK,18
US-OK-19,75069.82993,US,OK,19
US-OK-21,41847.86805,US,OK,21
US-OK-22,15669.2978,US,OK,22
US-OK-24,7771.451289,US,OK,24
US-OK-25,29620.02446,US,OK,25
US-OR-10,53638.54953,US,OR,10
US-OR-5,81963.46579,US,OR,5
US-OR-9,115677.5788,US,OR,9
US-PA-13,8060.665925,US,PA,13
US-PA-28,96973.38673,US,PA,28
US-PA-29,12131.6755,US,PA,29
US-RI-30,2833.614362,US,RI,30
US-SC-27,51140.29625,US,SC,27
US-SC-28,1775.902464,US,SC,28
US-SC-29,26958.71053,US,SC,29
US-SD-11,89409.31454,US,SD,11
US-SD-17,103740.7224,US,SD,17
US-SD-18,2078.594001,US,SD,18
US-SD-19,838.9527547,US,SD,19
US-SD-22,3376.081658,US,SD,22
US-TN-24,40643.74482,US,TN,24
US-TN-26,1525.506763,US,TN,26
US-TN-27,25256.09855,US,TN,27
US-TN-28,41401.92503,US,TN,28
US-TX-18,105639.3669,US,TX,18
US-TX-19,89322.85764,US,TX,19
US-TX-20,58594.89976,US,TX,20
US-TX-21,152288.5813,US,TX,21
US-TX-25,71055.61504,US,TX,25
US-TX-35,99676.68323,US,TX,35
US-TX-36,68077.38205,US,TX,36
US-TX-37,40837.1742,US,TX,37
US-UT-10,2875.338373,US,UT,10
US-UT-16,131471.5894,US,UT,16
US-UT-33,311.4143929,US,UT,33
US-UT-9,85199.37731,US,UT,9
US-VA-27,18706.52761,US,VA,27
US-VA-28,39831.98859,US,VA,28
US-VA-29,42367.76971,US,VA,29
US-VA-30,2846.801184,US,VA,30
US-VT-13,4533.428718,US,VT,13
US-VT-14,20508.05298,US,VT,14
